,1,2,3,4,5
Account / Profile,76.0,55.0,63.0,96.0,862.0
Credits / Pricing / Payments,59.0,32.0,33.0,51.0,314.0
Customer Payments,1.0,1.0,,,6.0
Getting Started,10.0,21.0,11.0,22.0,198.0
Marketplace Integrity,71.0,27.0,21.0,22.0,63.0
Notifications,8.0,6.0,5.0,9.0,59.0
Other,15.0,13.0,9.0,15.0,53.0
Phone,17.0,6.0,6.0,5.0,28.0
ProAssist Billing,7.0,5.0,3.0,7.0,16.0
ProAssist Churn,3.0,3.0,1.0,,2.0
ProAssist Forwarding,,,1.0,,2.0
ProAssist Getting started,8.0,4.0,7.0,5.0,15.0
ProAssist Pause program,,,,,1.0
ProAssist Pricing calculator,3.0,3.0,4.0,1.0,17.0
Quotes,59.0,53.0,64.0,75.0,645.0
Refunds,78.0,25.0,45.0,75.0,827.0
Requests,88.0,62.0,61.0,134.0,835.0
Reviews,69.0,42.0,30.0,34.0,386.0
TTC Billing,,,,,1.0
TTC Getting started,1.0,,,,
TTC Pricing calculator,,,,,1.0
