,subpar_pct,CC_Value_Counts
Account / Profile,16.84027777777778,1152
Credits / Pricing / Payments,25.357873210633947,489
Customer Payments,25.0,8
Getting Started,16.030534351145036,262
Marketplace Integrity,58.333333333333336,204
Notifications,21.839080459770116,87
Other,35.23809523809524,105
Phone,46.774193548387096,62
ProAssist Billing,39.473684210526315,38
ProAssist Churn,77.77777777777779,9
ProAssist Forwarding,33.33333333333333,3
ProAssist Getting started,48.717948717948715,39
ProAssist Pause program,0.0,1
ProAssist Pricing calculator,35.714285714285715,28
Quotes,19.642857142857142,896
Refunds,14.095238095238095,1050
Requests,17.88135593220339,1180
Reviews,25.13368983957219,561
TTC Billing,0.0,1
TTC Getting started,100.0,1
TTC Pricing calculator,0.0,1
